Name,Managed By,Registration Platform,DNS Provider,Expiration Date,🕸️ Site,🧑‍🚀 Client,Internal DNS Controls,Notes,Registrar Account,📇 Agency Partner
blackriveractionteam.org,Indelible,,Cloudflare,"July 22, 2026",,,,,,
crownpointbuilders.com,Indelible,Cloudflare,Cloudflare,"December 9, 2025",Crown Point Contracting (https://www.notion.so/Crown-Point-Contracting-157e607ad424805e8b53eb2086f7a914?pvs=21),,,,,
mitchsmaples.com,Indelible,,Cloudflare,,mitchsmaples.com (https://www.notion.so/mitchsmaples-com-205e607ad42480318872c9e0215a7bc9?pvs=21),,,,,
http://vpccn.org/,Indelible,,vpccn.org,,vtparentchildcenternetwork.org (https://www.notion.so/vtparentchildcenternetwork-org-1a6e607ad42480919f8acd1469eebeaa?pvs=21),,,,,
vtparentchildnetwork.org,Indelible,,Cloudflare,,vtparentchildcenternetwork.org (https://www.notion.so/vtparentchildcenternetwork-org-1a6e607ad42480919f8acd1469eebeaa?pvs=21),,,,,
globeleenergy.com,Client,,,,globeleenergy.com (https://www.notion.so/globeleenergy-com-202e607ad424809d96e0c0d73c60ee99?pvs=21),,,,,
https://dash.cloudflare.com/837a694aa534ca841f0eb2a8fb59bf8a/knowingchristministries.org,Indelible,,Cloudflare,,knowingchrist.org (https://www.notion.so/knowingchrist-org-200e607ad42480dea076fcfff2b28229?pvs=21),,,,Client,
knowingchrist.org,Indelible,,Cloudflare,,knowingchrist.org (https://www.notion.so/knowingchrist-org-200e607ad42480dea076fcfff2b28229?pvs=21),,,,Client,
bethanybaptist.org,Indelible,,Cloudflare,,bethanycentral.org (https://www.notion.so/bethanycentral-org-200e607ad424809fbf95faab07381ff9?pvs=21),,,,Client,
herbapumps.com,Indelible,GoDaddy,Cloudflare,,herbapumps.com (https://www.notion.so/herbapumps-com-999d6f03259541ff8a48e07f7326f0ad?pvs=21),,,,Client,
mikelynnfilm.com,,,,,mikelynnfilm.com (https://www.notion.so/mikelynnfilm-com-1f7e607ad42480839d86d35f9d2f30e6?pvs=21),,,,,
wildbeautyfoundation.org,Indelible,GoDaddy,Cloudflare,"June 9, 2026",wildbeautyfoundation.org (https://www.notion.so/wildbeautyfoundation-org-1ede607ad4248043963cfa70c21748f9?pvs=21),Wild Beauty Foundation (https://www.notion.so/Wild-Beauty-Foundation-1ede607ad424803b91c6ff58b5ae4c52?pvs=21),,,Indelible,
emporium.thevermontstandard.com,Indelible,,Cloudflare,,Emporium (https://www.notion.so/Emporium-1ece607ad42480ef967bcd820d415c74?pvs=21),,,,,
calvarylovesspringfield.com,Indelible,GoDaddy,Cloudflare,,calvarylovesspringfield.com (https://www.notion.so/calvarylovesspringfield-com-1e8e607ad4248084b23bcc8c78a46b85?pvs=21),,,,,
mntitlesolutions.com,Client,GoDaddy,GoDaddy,,mntitlesolutions.com (https://www.notion.so/mntitlesolutions-com-1c8e607ad4248007b31fef3b5b935a2a?pvs=21),MN Title Solutions (https://www.notion.so/MN-Title-Solutions-1e5e607ad424808cab77c0df74fbbae1?pvs=21),,,,Nerd Herd (https://www.notion.so/Nerd-Herd-1bee607ad42480919b1fee42f6d797d2?pvs=21)
thermalnetics.com,,,,,thermalnetics.com (https://www.notion.so/thermalnetics-com-1e4e607ad4248038bd84d36bd12ac765?pvs=21),,,,,
hvacmarketingleaders.com,Indelible,Cloudflare,Cloudflare,,hvacmarketingleaders.com (https://www.notion.so/hvacmarketingleaders-com-1e4e607ad42480b3b7e2ff3a39a6db7c?pvs=21),Nerd Herd (https://www.notion.so/Nerd-Herd-1c8e607ad42480a295cbcca27ea0e26f?pvs=21),,,,Nerd Herd (https://www.notion.so/Nerd-Herd-1bee607ad42480919b1fee42f6d797d2?pvs=21)
