Name,DNS Provider,Expiration Date,Internal DNS Controls,Managed By,Notes,Registrar Account,Registration Platform,📇 Agency Partner,🕸️ Site,🧑‍🚀 Client
crownpointbuilders.com,Cloudflare,"December 9, 2025",,Indelible,,,Cloudflare,,Crown Point Contracting (https://www.notion.so/Crown-Point-Contracting-157e607ad424805e8b53eb2086f7a914?pvs=21),
dreamsingear.com,,,,,,,,,dreamsingear.com (https://www.notion.so/dreamsingear-com-182e607ad42480e3904ff70976b99562?pvs=21),Jon Haehnel (https://www.notion.so/Jon-Haehnel-22ee607ad42480b48856f517c459b8fa?pvs=21)
3dGameAssets.io,Cloudflare,,,Indelible,,,,,,
abbottsepticservices.com,Cloudflare,,,Indelible,,,,,,
abundanceacres.org,Cloudflare,,,Indelible,,,,,,
adhdmomshirts.com,Cloudflare,,,Indelible,,,,,,
animeaccelerator.com,Cloudflare,,,Indelible,,,,,,
becomeindelible.com,Cloudflare,,,Indelible,,,,,,
bentonandcrew.com,Cloudflare,,,Indelible,,,,,,
bethanycentral.org,Cloudflare,,,Indelible,,,,,,
betterchewkitchen.com,Cloudflare,,,Indelible,,,,,,
bootleggersfootwear.com,Cloudflare,,,Indelible,,,,,,
bootleggersfootwear.net,Cloudflare,,,Indelible,,,,,,
calvarylovesspringfield.com,Cloudflare,,,Indelible,,,,,,
coachjoseph.com,Cloudflare,,,Indelible,,,,,,
coffeeandjoe.com,Cloudflare,,,Indelible,,,,,,
crappymusic.io,Cloudflare,,,Indelible,,,,,,
crownpointcontracting.com,Cloudflare,,,Indelible,,,,,,
deadenglish.com,Cloudflare,,,Indelible,,,,,,
do802.com,Cloudflare,,,Indelible,,,,,,
eatbetterchew.com,Cloudflare,,,Indelible,,,,,,
fentonandhennessey.com,Cloudflare,,,Indelible,,,,,,
firstchurchspringfield.com,Cloudflare,,,Indelible,,,,,,
griffinconstructionnh.com,Cloudflare,,,Indelible,,,,,,
herbapumps.com,Cloudflare,,,Indelible,,,,,,
herba-releaf.com,Cloudflare,,,Indelible,,,,,,
indelible-test.com,Cloudflare,,,Indelible,,,,,,
kbcrashcreations.com,Cloudflare,,,Indelible,,,,,,
knowingchristministries.org,Cloudflare,,,Indelible,,,,,,
knowingchrist.org,Cloudflare,,,Indelible,,,,,,
kratompump.com,Cloudflare,,,Indelible,,,,,,
longtrailms.com,Cloudflare,,,Indelible,,,,,,
longtrailmultisport.com,Cloudflare,,,Indelible,,,,,,
ltmsvt.com,Cloudflare,,,Indelible,,,,,,
mikelynnfilm.com,Cloudflare,,,Indelible,,,,,,
mitchsmaples.com,Cloudflare,,,Indelible,,,,,,
mitquick.com,Cloudflare,,,Indelible,,,,,,
mycoachjoe.com,Cloudflare,,,Indelible,,,,,,
mythicrogues.com,Cloudflare,,,Indelible,,,,,,
nerdherd.marketing,Cloudflare,"March 16, 2026",,Indelible,,,Cloudflare,Nerd Herd (https://www.notion.so/Nerd-Herd-1bee607ad42480919b1fee42f6d797d2?pvs=21),nerdherdpro.com (https://www.notion.so/nerdherdpro-com-1bee607ad4248043b931de742a7ecaa4?pvs=21),Nerd Herd (https://www.notion.so/Nerd-Herd-1c8e607ad42480a295cbcca27ea0e26f?pvs=21)
northstarfqhc.org,Cloudflare,,,Indelible,,,,,,
pixadonapi.com,Cloudflare,,,Indelible,,,,,,
poketheaxion.com,Cloudflare,,,Indelible,,,,,,
rhp-corp.com,Cloudflare,,,Indelible,,,,,,
sapcc-vt.org,Cloudflare,,,Indelible,,,,,,
sataninchief.com,Cloudflare,,,Indelible,,,,,,
sep-program.com,Cloudflare,,,Indelible,,,,,,
sepvt.com,Cloudflare,,,Indelible,,,,,,
sportsenhancementforlife.com,Cloudflare,,,Indelible,,,,,,
springfieldonthemove.net,Cloudflare,,,Indelible,,,,,,
thevermontstandard.com,Cloudflare,,,Indelible,,,,,,
uncle-jimmys.com,Cloudflare,,,Indelible,,,,,,
vermonturns.com,Cloudflare,,,Indelible,,,,,,
vpccn.org,Cloudflare,,,Indelible,,,,,,
vtmutualaid.com,Cloudflare,,,Indelible,,,,,,
vtparentchildcenternetwork.org,Cloudflare,,,Indelible,,,,,,
whitespire.net,Cloudflare,,,Indelible,,,,,,
whoismikedion.com,Cloudflare,,,Indelible,,,,,,
wildbeautyfilm.com,Cloudflare,,,Indelible,,,,,,
wordworksforyou.org,Cloudflare,,,Indelible,,,GoDaddy,,,
bearridgebooks.com,WPMU Dev,,,Indelible,,,,,bearridgebooks.com (https://www.notion.so/bearridgebooks-com-206e607ad424807d81b1f21629e4295e?pvs=21),
jillscafe.net,WPMU Dev,,,Indelible,,,Cloudflare,Nerd Herd (https://www.notion.so/Nerd-Herd-1bee607ad42480919b1fee42f6d797d2?pvs=21),jillscafe.net (https://www.notion.so/jillscafe-net-1bee607ad42480228736f299dc9c72ab?pvs=21),Jills Cafe (https://www.notion.so/Jills-Cafe-1e4e607ad42480e9a86ee1404ffe6154?pvs=21)
executiveassociatestitleotsego.com,,,,Client,,,GoDaddy,Nerd Herd (https://www.notion.so/Nerd-Herd-1bee607ad42480919b1fee42f6d797d2?pvs=21),mntitlesolutions.com (https://www.notion.so/mntitlesolutions-com-1c8e607ad4248007b31fef3b5b935a2a?pvs=21),
meidlconcreteservices.com,Cloudflare,"April 27, 2025",,Indelible,,,Cloudflare,Nerd Herd (https://www.notion.so/Nerd-Herd-1bee607ad42480919b1fee42f6d797d2?pvs=21),meidlconcreteservices.com (https://www.notion.so/meidlconcreteservices-com-1e2e607ad4248035bbbafdc1b73cf0d1?pvs=21),Meidl (https://www.notion.so/Meidl-1e2e607ad424805da20ac7aec6c4217c?pvs=21)
nerdherdpro.com,GoDaddy,,,Client,,,GoDaddy,Nerd Herd (https://www.notion.so/Nerd-Herd-1bee607ad42480919b1fee42f6d797d2?pvs=21),nerdherdpro.com (https://www.notion.so/nerdherdpro-com-1bee607ad4248043b931de742a7ecaa4?pvs=21),Nerd Herd (https://www.notion.so/Nerd-Herd-1c8e607ad42480a295cbcca27ea0e26f?pvs=21)
griswoldcontrols.com,GoDaddy,,Yes,Client,Managed in Client’s accounts,,Network Solutions,Nerd Herd (https://www.notion.so/Nerd-Herd-1bee607ad42480919b1fee42f6d797d2?pvs=21),griswoldcontrols.com (https://www.notion.so/griswoldcontrols-com-1e4e607ad42480f188e5de279bdcbe50?pvs=21),
