Name,Tags,💼 Functions,Last Reviewed,Next Review,Status,💼 Owner
Creating Forms,"Forms, Wordpress","Wordpress Tech I (https://www.notion.so/Wordpress-Tech-I-1e8e607ad42480028811ea6bc459d190?pvs=21), Wordpress Tech II (https://www.notion.so/Wordpress-Tech-II-1e8e607ad42480ef9d4fc7380c3289d4?pvs=21), Wordpress Tech III (https://www.notion.so/Wordpress-Tech-III-1e8e607ad4248002ac88c190944ab05e?pvs=21)","May 26, 2025","May 26, 2026",🟢,Director of Operations (https://www.notion.so/Director-of-Operations-1e8e607ad4248049978fd57979f67686?pvs=21)
Wordpress Site Migration (to WPMU Dev),"Hosting, Network Management, Wordpress","Network Admin (https://www.notion.so/Network-Admin-1e8e607ad424803db4b6f6201ddb41e3?pvs=21), Wordpress Tech II (https://www.notion.so/Wordpress-Tech-II-1e8e607ad42480ef9d4fc7380c3289d4?pvs=21), Wordpress Tech III (https://www.notion.so/Wordpress-Tech-III-1e8e607ad4248002ac88c190944ab05e?pvs=21)","May 3, 2025","May 3, 2026",🟢,Director of Operations (https://www.notion.so/Director-of-Operations-1e8e607ad4248049978fd57979f67686?pvs=21)
Content Strategy,Content Strategy,,"May 6, 2025","May 6, 2026",🟢,Director of Operations (https://www.notion.so/Director-of-Operations-1e8e607ad4248049978fd57979f67686?pvs=21)
Kickoff Meeting,"Client Meetings, Content Strategy","Project Manager (https://www.notion.so/Project-Manager-1e8e607ad424809e87a5d2b63dd9a805?pvs=21), Content Writer II (https://www.notion.so/Content-Writer-II-1f7e607ad424805bb5a2fb98e556aab6?pvs=21)","May 20, 2025","May 20, 2026",🟢,Director of Operations (https://www.notion.so/Director-of-Operations-1e8e607ad4248049978fd57979f67686?pvs=21)
Mockup - Homepage,"Design, Figma","Design II (https://www.notion.so/Design-II-1f9e607ad424800c953affba4d611fe3?pvs=21), Design III (https://www.notion.so/Design-III-1f9e607ad42480238a4ac992adcc20f7?pvs=21)",,,🔴,Director of Operations (https://www.notion.so/Director-of-Operations-1e8e607ad4248049978fd57979f67686?pvs=21)
Site Setup,"Hosting, Wordpress","Wordpress Tech II (https://www.notion.so/Wordpress-Tech-II-1e8e607ad42480ef9d4fc7380c3289d4?pvs=21), Wordpress Tech III (https://www.notion.so/Wordpress-Tech-III-1e8e607ad4248002ac88c190944ab05e?pvs=21), Network Admin (https://www.notion.so/Network-Admin-1e8e607ad424803db4b6f6201ddb41e3?pvs=21)","May 20, 2025","May 20, 2026",🟢,Director of Operations (https://www.notion.so/Director-of-Operations-1e8e607ad4248049978fd57979f67686?pvs=21)
Page Build,"Cornerstone, Wordpress","Wordpress Tech II (https://www.notion.so/Wordpress-Tech-II-1e8e607ad42480ef9d4fc7380c3289d4?pvs=21), Wordpress Tech III (https://www.notion.so/Wordpress-Tech-III-1e8e607ad4248002ac88c190944ab05e?pvs=21), Wordpress Tech I (https://www.notion.so/Wordpress-Tech-I-1e8e607ad42480028811ea6bc459d190?pvs=21)","June 14, 2025","June 14, 2026",🟢,Director of Operations (https://www.notion.so/Director-of-Operations-1e8e607ad4248049978fd57979f67686?pvs=21)
Setup New Figma Project,"Design, Figma","Design II (https://www.notion.so/Design-II-1f9e607ad424800c953affba4d611fe3?pvs=21), Design I (https://www.notion.so/Design-I-1f9e607ad4248084ae75ee583c56e834?pvs=21), Design III (https://www.notion.so/Design-III-1f9e607ad42480238a4ac992adcc20f7?pvs=21)","May 20, 2025","May 20, 2026",🟢,Director of Operations (https://www.notion.so/Director-of-Operations-1e8e607ad4248049978fd57979f67686?pvs=21)
Mockup - Page,"Design, Figma","Design II (https://www.notion.so/Design-II-1f9e607ad424800c953affba4d611fe3?pvs=21), Design III (https://www.notion.so/Design-III-1f9e607ad42480238a4ac992adcc20f7?pvs=21)",,,🔴,
Client Onboarding,Client Meetings,Customer Success Manager (https://www.notion.so/Customer-Success-Manager-211e607ad4248065aed6eea723cb1838?pvs=21),"June 19, 2025","June 19, 2026",🟢,Director of Operations (https://www.notion.so/Director-of-Operations-1e8e607ad4248049978fd57979f67686?pvs=21)
Client Approval - Page,,,,,🔴,
Configure DNS,,,,,🔴,
Content Strategy - Accelerated Site,"Client Meetings, Content Strategy",Content Writer II (https://www.notion.so/Content-Writer-II-1f7e607ad424805bb5a2fb98e556aab6?pvs=21),"July 28, 2025","July 28, 2026",🟢,Director of Operations (https://www.notion.so/Director-of-Operations-1e8e607ad4248049978fd57979f67686?pvs=21)
